1743249693,779356336,0.0
1743249695,1000776160,0.8341
1743249697,894552336,0.8168
1743249699,1001210016,0.7996
1743249701,846411752,0.8055
1743249703,964954472,0.7567
1743249705,286802392,0.7005
1743249707,688125320,0.7469
1743249709,676880152,0.7641
1743249711,802645096,0.7819
1743249713,746081792,0.8036
1743249715,1029631232,0.7804
1743249717,597601288,0.8097
1743249719,887999416,0.7814
1743249721,722169240,0.7901
1743249723,407605848,0.7879
1743249725,1025120176,0.7957
1743249728,761256408,0.8086
1743249730,830553440,0.7659
1743249732,530815144,0.7949
1743249734,805420536,0.7705
1743249736,990195968,0.7899
1743249739,749659656,0.7915
1743249741,379587656,0.7928
1743249743,338853120,0.8075
1743249745,997515736,0.7852
1743249747,299035688,0.8043
1743249749,138672976,0.7871
1743249751,653683984,0.7612
